,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
0,4.128086,0.0077880286,62.060802,0.48334453,-0.089148216,0.29060337,0.9845389,1.4438174e-05,0.0,0.0,3.184800689837175e-07,8.846394364225328e-08
1,4.120729,0.009401778,61.606674,0.5795282,-0.09395624,0.29361904,0.9845212,2.7007663e-05,0.0,0.0,5.244228091783043e-07,1.7198905064024604e-07
2,4.1130333,0.013338046,61.136967,0.81357116,-0.113420606,0.3009492,0.9845036,3.607686e-05,0.0,0.0,6.395381149104651e-07,2.350264169548624e-07
3,4.103975,0.017859017,60.589638,1.0771177,-0.020145036,0.35961398,0.9844882,4.678716e-05,0.0,0.0,8.313891157740727e-07,3.7439942242956756e-07
4,4.0931253,0.022636684,59.94123,1.3494813,0.07729854,0.39980912,0.9844786,4.8130307e-05,0.0,0.0,7.709397777944105e-07,2.622854919462729e-07
5,4.0804834,0.027913265,59.195587,1.6417979,0.14586776,0.42302263,0.98446685,4.666929e-05,0.0009765625,0.00390625,7.83087671152316e-07,1.734553046148466e-07
6,4.0662727,0.03324746,58.36918,1.923923,0.1145946,0.46110585,0.98445505,4.5471716e-05,0.0009765625,0.00390625,7.932365377882888e-07,1.775244636904583e-07
7,4.050444,0.03971989,57.464996,2.2472596,0.18769716,0.47682184,0.98446095,3.6983773e-05,0.0009765625,0.00390625,8.349781381866705e-07,2.0323230495986999e-07
8,4.033284,0.046201926,56.501602,2.5505176,0.13593227,0.5164892,0.9844469,4.6281624e-05,0.0009765625,0.00390625,1.129434139102159e-06,4.5938580010940897e-07
9,4.0140443,0.053252578,55.442528,2.8668756,0.24060597,0.4554874,0.9844351,5.4143187e-05,0.00390625,0.009021098,1.0589590146992123e-06,3.544791237881329e-07
10,3.993569,0.0614689,54.342102,3.2290075,0.22660226,0.44656807,0.98441815,6.0888033e-05,0.0048828125,0.009407496,1.1223921205782972e-06,1.6204965517981685e-07
11,3.9720712,0.07077714,53.216057,3.6281676,0.25013086,0.43159994,0.98441464,5.9707312e-05,0.0146484375,0.015592414,1.0538984867025647e-06,2.824679730804206e-07
12,3.949533,0.080004916,52.063046,4.006814,0.23675975,0.42655942,0.9844081,6.666669e-05,0.013671875,0.018814992,1.1703526894280003e-06,2.550127179257268e-07
13,3.927185,0.08916278,50.9485,4.370928,0.24726206,0.467927,0.98440313,6.820169e-05,0.015625,0.019764235,1.0562397534386037e-06,3.24873625703119e-07
14,3.9044561,0.09842547,49.84327,4.726122,0.28535116,0.3957902,0.9843938,7.498058e-05,0.013671875,0.01601086,1.0484021970569302e-06,3.4533418187912767e-07
15,3.8814468,0.10798469,48.753555,5.075371,0.2877956,0.40186828,0.98438656,7.116216e-05,0.029296875,0.047005028,1.2933020343552926e-06,4.08010671281267e-07
16,3.8588326,0.11751066,47.710274,5.4071474,0.3283455,0.43001965,0.9843686,8.42087e-05,0.01953125,0.017585358,1.517451778454415e-06,4.665292575749818e-07
17,3.836096,0.12715945,46.68814,5.7278996,0.2715051,0.41169035,0.98436123,8.294473e-05,0.03515625,0.027063293,1.2923998156111338e-06,4.5220305103468816e-07
18,3.8136063,0.13639988,45.700714,6.016021,0.34506598,0.3715463,0.98434836,8.7489854e-05,0.03125,0.024869451,1.3991602685337057e-06,3.3563709734058317e-07
19,3.792385,0.14556143,44.7937,6.2886224,0.3093879,0.42123926,0.9843577,9.346951e-05,0.026367188,0.02893439,1.48550182643703e-06,3.7630815457192696e-07
20,3.7727356,0.15364389,43.97023,6.509432,0.29800105,0.40903673,0.98433614,0.00010555019,0.028320312,0.027492156,1.3333894059996965e-06,4.984162301754038e-07
21,3.7546535,0.16132239,43.229465,6.712164,0.34957498,0.3555648,0.98431236,0.000109945475,0.047851562,0.037181262,1.6238101920862391e-06,8.276456010700948e-07
22,3.7377024,0.16873454,42.549767,6.903644,0.28552875,0.44236556,0.98431194,0.00010629125,0.047851562,0.04721017,1.6060506311532663e-06,8.27672276125916e-07
23,3.7213464,0.1754183,41.903053,7.0650215,0.31049684,0.40488952,0.9843045,0.00012114041,0.047851562,0.033979136,1.630089116133604e-06,5.830559616254415e-07
24,3.705231,0.18171734,41.27545,7.212126,0.36219886,0.35018486,0.98429877,0.0001263128,0.03125,0.029646354,1.6443949846234318e-06,7.90587961340202e-07
25,3.6906378,0.18763764,40.718002,7.348117,0.38150364,0.34842402,0.98430663,0.000121998586,0.048828125,0.043027896,1.9093385787982697e-06,7.457655076263712e-07
26,3.6757371,0.19324368,40.154987,7.4676228,0.3145439,0.3931387,0.984287,0.00014369353,0.049804688,0.047123905,1.6719435507184244e-06,4.696911145857434e-07
27,3.6613445,0.19876735,39.620777,7.588292,0.30465087,0.40067515,0.98429203,0.00013869483,0.06347656,0.055454075,1.5678596270163325e-06,5.401236463626922e-07
28,3.647371,0.20410302,39.109802,7.6997256,0.35943577,0.37900007,0.98427975,0.0001379136,0.045898438,0.03349671,1.987777835665838e-06,9.572537701275362e-07
29,3.6335108,0.2092046,38.609028,7.797935,0.36087656,0.38397077,0.98423743,0.0001730635,0.06933594,0.048736893,1.7978406106067268e-06,5.645370698232687e-07
