,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
0,3.8374467,0.0093907025,46.40875,0.43369037,-0.33604488,0.21327981,0.99871695,3.0555714e-06,0.0,0.0,5.309161665856266e-09,1.7791715219437767e-09
1,3.82651,0.016081229,45.9076,0.7335721,-0.6177465,0.21037689,0.99871314,3.8452463e-06,0.0,0.0,5.832286500973005e-09,4.058730085758044e-09
2,3.8163948,0.023651699,45.45194,1.0658823,-0.61058617,0.18717338,0.9987126,4.3409464e-06,0.0,0.0,7.257344877831251e-09,6.047766715569431e-09
3,3.8038378,0.03340662,44.89636,1.4817141,-0.6093732,0.18442155,0.99871016,5.7525945e-06,0.0,0.0,8.146677804576896e-09,4.575662160561251e-09
4,3.7881172,0.044617712,44.21396,1.9429444,-0.5690373,0.24211217,0.9987062,6.813048e-06,0.0,0.0,7.907078020119584e-09,3.9706405197160625e-09
5,3.770156,0.056481645,43.450924,2.408933,-0.54204965,0.2987169,0.9987032,8.799073e-06,0.0013020834,0.0052083335,9.339084700021871e-09,4.42957054609361e-09
6,3.7500715,0.06817681,42.615616,2.8488529,-0.5050188,0.33492744,0.99869984,1.0391581e-05,0.0013020834,0.0052083335,1.089254389463612e-08,5.046645699547318e-09
7,3.7276294,0.079653375,41.702644,3.260742,-0.4567217,0.42420805,0.9986956,1.2932239e-05,0.00390625,0.0083981855,1.0675682726724034e-08,4.638163148748894e-09
8,3.7030907,0.09052722,40.726974,3.6333525,-0.44501242,0.42476383,0.9986939,1.4905293e-05,0.010416667,0.013176157,1.3688451566684634e-08,5.451809117862664e-09
9,3.677629,0.1015464,39.74263,3.9957879,-0.4294941,0.47943786,0.99868965,1.7750526e-05,0.01171875,0.016957104,1.2158597073597122e-08,5.138751097798619e-09
10,3.6526875,0.11294328,38.80824,4.3548765,-0.4160043,0.48315653,0.99868834,1.984812e-05,0.024739584,0.029676838,1.4197074293953449e-08,6.2764490748720665e-09
11,3.6286657,0.124475844,37.935562,4.6949553,-0.38491845,0.5129402,0.9986843,2.2407763e-05,0.02734375,0.026041668,1.7042425692892493e-08,7.530903423693375e-09
12,3.6058314,0.13592026,37.130367,5.0109887,-0.4023975,0.50083196,0.99868107,2.411008e-05,0.03515625,0.031104987,1.517287995245198e-08,6.39914158125962e-09
13,3.5842729,0.14735469,36.39252,5.3082004,-0.38195848,0.5280218,0.99867815,2.8517143e-05,0.032552082,0.0339941,1.4763671007944623e-08,6.619227653850946e-09
14,3.5634272,0.15902966,35.699757,5.59411,-0.39215058,0.49572954,0.9986744,3.0824063e-05,0.05859375,0.04041076,1.8881345986709874e-08,8.497657193099268e-09
15,3.5430477,0.1724159,35.04926,5.912378,-0.35521773,0.52649236,0.99867076,3.3958466e-05,0.05859375,0.05001085,1.9568853287799115e-08,8.566338021379362e-09
16,3.5232172,0.18719195,34.441814,6.249075,-0.38291982,0.52209264,0.99866945,3.4647812e-05,0.059895832,0.034756925,1.8536590151718713e-08,8.360383599087638e-09
17,3.5035312,0.2028437,33.860577,6.59118,-0.35364375,0.521027,0.99866617,3.751566e-05,0.083333336,0.0559017,2.070498431039347e-08,8.255579728600876e-09
18,3.4843624,0.21837944,33.31175,6.913725,-0.35054654,0.5280038,0.99866354,4.0298506e-05,0.079427086,0.05058612,1.9845973892040902e-08,8.802685526841541e-09
19,3.4655445,0.23439369,32.791786,7.228134,-0.34404632,0.5461307,0.9986612,4.1464016e-05,0.102864586,0.06908326,2.305191576512655e-08,9.297008473276885e-09
20,3.44735,0.24993531,32.302155,7.5111427,-0.33088508,0.5420719,0.998658,4.364668e-05,0.09765625,0.06834635,2.007799557168788e-08,8.884321482812719e-09
21,3.429556,0.26530457,31.83556,7.7662544,-0.32046288,0.5427126,0.99865466,4.775853e-05,0.091145836,0.07974025,2.1149523882213472e-08,8.947931749637456e-09
22,3.4118392,0.27998224,31.377874,7.98963,-0.31984544,0.5421463,0.99865216,4.915639e-05,0.104166664,0.0749228,2.4517690822012383e-08,9.672655840332276e-09
23,3.3950877,0.2929359,30.949142,8.175343,-0.288178,0.54174966,0.9986489,5.3263415e-05,0.09375,0.08228507,2.4265968734393795e-08,9.329704593298904e-09
24,3.3789482,0.30463502,30.539413,8.332091,-0.3023593,0.54303473,0.9986465,5.498614e-05,0.1328125,0.11904204,2.7011084480221825e-08,1.053272107914724e-08
25,3.3631146,0.31546944,30.140377,8.462597,-0.29175824,0.54181045,0.99864155,5.936486e-05,0.1328125,0.0946714,2.3830247108946878e-08,9.798529428429415e-09
26,3.347908,0.32523838,29.75869,8.561232,-0.3094265,0.5323924,0.9986392,6.177598e-05,0.13932292,0.08796792,2.595291084817042e-08,1.0400851037600734e-08
27,3.3331213,0.33442414,29.390963,8.6407795,-0.3095804,0.53780085,0.99863803,6.235042e-05,0.12760417,0.09467139,2.6847415290909282e-08,1.142092261466133e-08
28,3.3188846,0.34311888,29.040789,8.704611,-0.2912323,0.525994,0.9986335,6.735981e-05,0.13671875,0.103461154,2.7621442133529683e-08,1.1653455860751421e-08
29,3.3055704,0.35120368,28.71773,8.759083,-0.2582438,0.5476563,0.99862796,7.068424e-05,0.13671875,0.1193076,2.4089224115453334e-08,1.0058275479062628e-08
